SYMBOL,NAME,CLOSE,CHANGE%,VOLUME,FETCH_DATE
IDEA,IDEA,9.93,-2.4557956777996073,523201791,2026-01-25 09:59
UJJIVANSFB,UJJIVANSFB,63.06,1.7753389283408674,126126053,2026-01-25 09:59
YESBANK,YESBANK,20.92,-3.2824780397595807,120490912,2026-01-25 09:59
ETERNAL,ETERNAL,258.7,-6.234142805364259,85765429,2026-01-25 09:59
BHARATCOAL,BHARATCOAL,36.55,-6.137647663071394,81632463,2026-01-25 09:59
BANDHANBNK,BANDHANBNK,149.33,4.822406289484771,66066666,2026-01-25 09:59
PCJEWELLER,PCJEWELLER,10.69,0.28142589118198275,61528537,2026-01-25 09:59
RPOWER,RPOWER,28.27,-5.672339005672336,54023006,2026-01-25 09:59
ADANIPOWER,ADANIPOWER,132.96,-5.648594947487923,52434571,2026-01-25 09:59
SUZLON,SUZLON,45.7,-2.7452649499893576,49252985,2026-01-25 09:59
GROWW,GROWW,167.51,0.7700174457077551,48985788,2026-01-25 09:59
EKC,EKC,114.53,13.250271927222393,45085478,2026-01-25 09:59
GTLINFRA,GTLINFRA,1.02,-0.9708737864077678,44724918,2026-01-25 09:59
FILATFASH,FILATFASH,0.3,0.0,43621251,2026-01-25 09:59
OLAELEC,OLAELEC,31.95,-3.0937215650591434,40687720,2026-01-25 09:59
JPPOWER,JPPOWER,14.75,-3.657740039190075,38847511,2026-01-25 09:59
SAIL,SAIL,149.03,-1.7276623804813744,35863744,2026-01-25 09:59
ASHOKLEY,ASHOKLEY,192.98,1.4189615303762817,32467563,2026-01-25 09:59
HINDZINC,HINDZINC,698.7,4.55667789001123,32427217,2026-01-25 09:59
HDFCBANK,HDFCBANK,916.1,-0.28300859910743686,30985247,2026-01-25 09:59
AURIGROW,AURIGROW,0.51,-3.7735849056603805,30899136,2026-01-25 09:59
IDFCFIRSTB,IDFCFIRSTB,82.99,-1.437054631828988,30120355,2026-01-25 09:59
HINDCOPPER,HINDCOPPER,535.9,0.7236162014848272,29167207,2026-01-25 09:59
TATASTEEL,TATASTEEL,187.61,-0.7879428873611742,28492706,2026-01-25 09:59
RMDRIP,RMDRIP,100.78,2.076369897700797,28383536,2026-01-25 09:59
MAHABANK,MAHABANK,65.63,-0.24319805441558104,27511949,2026-01-25 09:59
CANBK,CANBK,151.81,-1.8554434962503263,26875350,2026-01-25 09:59
SAGILITY,SAGILITY,51.69,-1.4302059496567507,26027543,2026-01-25 09:59
SOUTHBANK,SOUTHBANK,45.0,-2.088772845953004,25458970,2026-01-25 09:59
UNIONBANK,UNIONBANK,172.77,-1.1500171644352848,24039471,2026-01-25 09:59
BAJAJCON,BAJAJCON,305.8,2.997642303806007,23382711,2026-01-25 09:59
ADANIGREEN,ADANIGREEN,772.8,-14.5416344133584,22973223,2026-01-25 09:59
NATIONALUM,NATIONALUM,370.65,1.6593527153044307,22954119,2026-01-25 09:59
TANLA,TANLA,481.0,7.294222618782063,22732971,2026-01-25 09:59
VEDL,VEDL,684.15,0.8104324762395934,21435331,2026-01-25 09:59
IXIGO,IXIGO,204.55,-13.271146915412332,21346874,2026-01-25 09:59
NMDC,NMDC,76.36,-2.390387319442675,19489454,2026-01-25 09:59
PAYTM,PAYTM,1138.8,-9.654898849662835,19357013,2026-01-25 09:59
CUPID,CUPID,397.2,-3.1691857630424183,18797849,2026-01-25 09:59
DAVANGERE,DAVANGERE,4.69,0.42826552462527756,18613879,2026-01-25 09:59
PWL,PWL,126.5,-4.564315352697103,18584561,2026-01-25 09:59
POWERGRID,POWERGRID,254.15,-1.967213114754096,18022018,2026-01-25 09:59
PNB,PNB,120.15,-4.002876318312553,17868644,2026-01-25 09:59
SWIGGY,SWIGGY,311.75,-2.669372463315645,17199531,2026-01-25 09:59
JYOTISTRUC,JYOTISTRUC,9.06,1.2290502793296225,16060967,2026-01-25 09:59
IRFC,IRFC,114.15,-2.452572209878645,15938677,2026-01-25 09:59
INFIBEAM,INFIBEAM,15.84,3.259452411994785,15521589,2026-01-25 09:59
HCC,HCC,18.17,-4.869109947643977,15420673,2026-01-25 09:59
BANKINDIA,BANKINDIA,159.65,-4.068020670592467,15396336,2026-01-25 09:59
DHARAN,DHARAN,0.21,0.0,15299083,2026-01-25 09:59
JIOFIN,JIOFIN,252.9,-3.6938309215537,14857605,2026-01-25 09:59
EQUITASBNK,EQUITASBNK,71.05,1.3552068473609171,14698158,2026-01-25 09:59
GATECH,GATECH,0.48,-4.0000000000000036,14226850,2026-01-25 09:59
IIFL,IIFL,521.15,-3.266821345707661,14085105,2026-01-25 09:59
ICICIBANK,ICICIBANK,1343.4,-0.15607580824971454,14056524,2026-01-25 09:59
IFCI,IFCI,56.35,-4.16666666666666,13721630,2026-01-25 09:59
HFCL,HFCL,61.1,-2.0362353695686966,13573172,2026-01-25 09:59
WIPRO,WIPRO,238.4,-0.9349677955537088,13546802,2026-01-25 09:59
NBCC,NBCC,95.08,-3.6481556546412732,13406785,2026-01-25 09:59
JTLIND,JTLIND,75.96,-1.3762659049597539,13361459,2026-01-25 09:59
BEL,BEL,410.7,-1.5815959741193442,12715222,2026-01-25 09:59
KALYANKJIL,KALYANKJIL,367.2,-1.6999063043769302,12299275,2026-01-25 09:59
FEDERALBNK,FEDERALBNK,278.55,-1.293408929836987,12120387,2026-01-25 09:59
UTKARSHBNK,UTKARSHBNK,13.57,-1.165331391114349,12009160,2026-01-25 09:59
ITC,ITC,323.4,-0.44635985839619685,11950089,2026-01-25 09:59
TMCV,TMCV,449.2,0.9665093279388652,11557765,2026-01-25 09:59
RTNPOWER,RTNPOWER,8.03,-2.6666666666666745,11201027,2026-01-25 09:59
NHPC,NHPC,75.25,-2.8405422853453874,11193218,2026-01-25 09:59
SBC,SBC,29.71,1.816312542837564,11087462,2026-01-25 09:59
SBIN,SBIN,1029.5,-1.7980636237897565,10917698,2026-01-25 09:59
DLF,DLF,588.45,-4.051850644056728,10792256,2026-01-25 09:59
ZEEL,ZEEL,81.39,-4.325849300575988,10783093,2026-01-25 09:59
KOTAKBANK,KOTAKBANK,422.8,-0.7511737089201851,10548118,2026-01-25 09:59
IDBI,IDBI,97.42,-2.5897410258974136,10502667,2026-01-25 09:59
MOTHERSON,MOTHERSON,108.4,-2.6318153238120834,10449787,2026-01-25 09:59
RAMASTEEL,RAMASTEEL,7.84,-2.1223470661672903,10100822,2026-01-25 09:59
NTPC,NTPC,336.7,-1.6790772375529273,10084314,2026-01-25 09:59
GMRAIRPORT,GMRAIRPORT,91.21,-4.090431125131441,9986400,2026-01-25 09:59
AWHCL,AWHCL,570.75,13.78588516746411,9879877,2026-01-25 09:59
RELIANCE,RELIANCE,1386.1,-1.169340463458117,9837802,2026-01-25 09:59
IOC,IOC,156.03,-1.8987739704495503,9542103,2026-01-25 09:59
IEX,IEX,127.53,-2.69342285975889,9239745,2026-01-25 09:59
RECLTD,RECLTD,361.35,-1.3244128891316127,9232847,2026-01-25 09:59
TFCILTD,TFCILTD,60.97,-3.984251968503939,9062098,2026-01-25 09:59
SHRIRAMFIN,SHRIRAMFIN,1003.55,-0.19393336648434067,9023942,2026-01-25 09:59
SEPC,SEPC,7.85,-3.444034440344417,8997112,2026-01-25 09:59
AXISBANK,AXISBANK,1258.0,-2.842137781896815,8885549,2026-01-25 09:59
IREDA,IREDA,127.4,-1.9472023397213891,8841839,2026-01-25 09:59
EASEMYTRIP,EASEMYTRIP,6.35,-1.7027863777089833,8606750,2026-01-25 09:59
UCOBANK,UCOBANK,28.75,-0.8278716798896117,8583612,2026-01-25 09:59
KARURVYSYA,KARURVYSYA,265.5,0.7016878437322295,8556664,2026-01-25 09:59
TMPV,TMPV,344.45,-0.8206161819752441,8354700,2026-01-25 09:59
GAIL,GAIL,160.81,-1.6873509812312715,8178368,2026-01-25 09:59
INOXWIND,INOXWIND,103.56,-3.1153522312657858,8154566,2026-01-25 09:59
RBA,RBA,64.04,-0.6977826019537737,8090030,2026-01-25 09:59
ONGC,ONGC,245.47,0.5983361337650128,8080247,2026-01-25 09:59
KITEX,KITEX,163.68,8.332781785690651,7861785,2026-01-25 09:59
SIGACHI,SIGACHI,22.37,-2.7813993915688853,7815515,2026-01-25 09:59
BANKBARODA,BANKBARODA,296.15,-2.9970520799213998,7810191,2026-01-25 09:59
ABFRL,ABFRL,61.64,-3.21871565394881,7741505,2026-01-25 09:59
HATHWAY,HATHWAY,10.22,-9.557522123893806,7729835,2026-01-25 09:59
ADANIENSOL,ADANIENSOL,812.7,-12.121539792387534,7623697,2026-01-25 09:59
SAMMAANCAP,SAMMAANCAP,138.91,-0.7573051368150334,7576715,2026-01-25 09:59
ADANIENT,ADANIENT,1864.2,-10.649923312883438,7492631,2026-01-25 09:59
NYKAA,NYKAA,234.7,-1.9837126748799332,7359262,2026-01-25 09:59
HUDCO,HUDCO,195.96,-5.383612573028828,7327876,2026-01-25 09:59
MRPL,MRPL,155.4,0.7194244604316635,6952785,2026-01-25 09:59
