SYMBOL,NAME,CLOSE,VOLUME,UPDATE_DATE,UPDATE_TIME
RELIANCE,RELIANCE,1386.1,9837802,2026-01-25,10:17:31
HDFCBANK,HDFCBANK,916.1,30985247,2026-01-25,10:17:31
TCS,TCS,3162.5,2068857,2026-01-25,10:17:31
AIRTELPP.E1,AIRTELPP.E1,1584.25,278772,2026-01-25,10:17:31
BHARTIARTL,BHARTIARTL,1984.7,4340925,2026-01-25,10:17:31
ICICIBANK,ICICIBANK,1343.4,14056524,2026-01-25,10:17:31
SBIN,SBIN,1029.5,10917698,2026-01-25,10:17:31
INFY,INFY,1670.8,5869137,2026-01-25,10:17:31
BAJFINANCE,BAJFINANCE,927.85,6535035,2026-01-25,10:17:31
HINDUNILVR,HINDUNILVR,2409.5,1378097,2026-01-25,10:17:31
LT,LT,3743.8,1898703,2026-01-25,10:17:31
LICI,LICI,802.45,777229,2026-01-25,10:17:31
MARUTI,MARUTI,15469.0,338669,2026-01-25,10:17:31
HCLTECH,HCLTECH,1707.0,1874357,2026-01-25,10:17:31
M&M,M&M,3543.4,1922549,2026-01-25,10:17:31
KOTAKBANK,KOTAKBANK,422.8,10548118,2026-01-25,10:17:31
ITC,ITC,323.4,11950089,2026-01-25,10:17:31
SUNPHARMA,SUNPHARMA,1631.9,1678658,2026-01-25,10:17:31
AXISBANK,AXISBANK,1258.0,8885549,2026-01-25,10:17:31
ULTRACEMCO,ULTRACEMCO,12369.0,356421,2026-01-25,10:17:31
TITAN,TITAN,4021.8,1015415,2026-01-25,10:17:31
NTPC,NTPC,336.7,10084314,2026-01-25,10:17:31
BAJAJFINSV,BAJAJFINSV,1949.0,1046873,2026-01-25,10:17:31
ONGC,ONGC,245.47,8080247,2026-01-25,10:17:31
BEL,BEL,410.7,12715222,2026-01-25,10:17:31
HINDZINC,HINDZINC,698.7,32427217,2026-01-25,10:17:31
HAL,HAL,4305.7,704843,2026-01-25,10:17:31
JSWSTEEL,JSWSTEEL,1170.0,2406992,2026-01-25,10:17:31
ADANIPORTS,ADANIPORTS,1308.4,6380222,2026-01-25,10:17:31
VEDL,VEDL,684.15,21435331,2026-01-25,10:17:31
BAJAJ_AUTO,BAJAJ_AUTO,9413.5,204212,2026-01-25,10:17:31
ASIANPAINT,ASIANPAINT,2703.7,1786635,2026-01-25,10:17:31
COALINDIA,COALINDIA,418.4,6520896,2026-01-25,10:17:31
ADANIPOWER,ADANIPOWER,132.96,52434571,2026-01-25,10:17:31
WIPRO,WIPRO,238.4,13546802,2026-01-25,10:17:31
ETERNAL,ETERNAL,258.7,85765429,2026-01-25,10:17:31
NESTLEIND,NESTLEIND,1293.8,744221,2026-01-25,10:17:31
ADANIENT,ADANIENT,1864.2,7492631,2026-01-25,10:17:31
DMART,DMART,3665.6,185668,2026-01-25,10:17:31
POWERGRID,POWERGRID,254.15,18022018,2026-01-25,10:17:31
TATASTEEL,TATASTEEL,187.61,28492706,2026-01-25,10:17:31
IOC,IOC,156.03,9542103,2026-01-25,10:17:31
HINDALCO,HINDALCO,950.3,5958887,2026-01-25,10:17:31
SBILIFE,SBILIFE,2002.6,1128576,2026-01-25,10:17:31
EICHERMOT,EICHERMOT,6973.0,365996,2026-01-25,10:17:31
SHRIRAMFIN,SHRIRAMFIN,1003.55,9023942,2026-01-25,10:17:31
GRASIM,GRASIM,2759.0,606097,2026-01-25,10:17:31
