symbol,name,price,change,volume,passes_scanner,passes_filter,wma_daily_1,wma_monthly_2
BHARTIARTL,BHARTIARTL,1307.37,1.87,44442,True,True,1307.37,1287.69
TMCV,TMCV,2788.81,-0.34,334420,True,True,2788.81,2699.45
BPCL,BPCL,2017.3,-0.05,987633,True,True,2017.3,1932.98
GAIL,GAIL,1996.82,0.47,397918,True,True,1996.82,1928.2
BERGEPAINT,BERGEPAINT,233.81,1.59,133306,True,True,233.81,231.62
HDBFS,HDBFS,1928.01,0.01,530834,True,True,1928.01,1913.75
ATGL,ATGL,4403.86,1.77,364077,True,True,4403.86,4212.76
M&MFIN,M&MFIN,1163.17,-0.01,762745,True,True,1163.17,1121.71
THERMAX,THERMAX,4729.76,1.94,754288,True,True,4729.76,4577.26
JUBLPHARMA,JUBLPHARMA,4147.57,1.43,840759,True,True,4147.57,4089.3
AARTIIND,AARTIIND,3614.79,1.53,440137,True,True,3614.79,3571.26
USHAMART,USHAMART,3869.46,1.36,681284,True,True,3869.46,3843.19
SAMMAANCAP,SAMMAANCAP,4813.02,1.03,453461,True,True,4813.02,4665.67
FINCABLES,FINCABLES,2946.64,-0.91,584736,True,True,2946.64,2839.09
LUMAXTECH,LUMAXTECH,1861.95,-0.85,583522,True,True,1861.95,1837.42
VARROC,VARROC,2116.34,0.23,362872,True,True,2116.34,2030.07
VSTIND,VSTIND,2074.82,1.0,139938,True,True,2074.82,2028.1
HERITGFOOD,HERITGFOOD,1173.66,0.86,463114,True,True,1173.66,1122.66
SENORES,SENORES,1649.26,0.11,202735,True,True,1649.26,1602.61
MARATHON,MARATHON,4884.57,1.01,521801,True,True,4884.57,4755.13
FLAIR,FLAIR,4456.25,1.03,810781,True,True,4456.25,4237.74
JUBLCPL,JUBLCPL,754.05,0.24,638061,True,True,754.05,719.47
BHARATRAS,BHARATRAS,3903.89,1.4,80193,True,True,3903.89,3716.59
SUNCLAY,SUNCLAY,3172.1,0.52,566095,True,True,3172.1,3105.67
TAJGVK,TAJGVK,753.4,-0.63,83795,True,True,753.4,733.42
VERANDA,VERANDA,4273.46,1.33,561188,True,True,4273.46,4253.0
CAPACITE,CAPACITE,2523.81,1.32,996927,True,True,2523.81,2494.5
SOMANYCERA,SOMANYCERA,2942.96,0.55,652275,True,True,2942.96,2831.06
WENDT,WENDT,2558.07,1.77,307993,True,True,2558.07,2455.45
RISHABH,RISHABH,3102.78,1.37,905265,True,True,3102.78,2961.79
INDORAMA,INDORAMA,1998.32,0.27,798555,True,True,1998.32,1979.42
SKMEGGPROD,SKMEGGPROD,317.79,0.77,38987,True,True,317.79,305.81
MENONBE,MENONBE,4666.05,0.59,545811,True,True,4666.05,4585.05
VISAKAIND,VISAKAIND,1125.42,1.37,635883,True,True,1125.42,1075.39
SHALPAINTS,SHALPAINTS,3810.47,1.16,221953,True,True,3810.47,3733.57
DIGISPICE,DIGISPICE,1451.63,-0.62,281506,True,True,1451.63,1401.44
WELINV,WELINV,3381.06,-0.37,896457,True,True,3381.06,3216.12
DYNPRO,DYNPRO,822.44,1.59,921948,True,True,822.44,817.48
CHEMBOND,CHEMBOND,4056.1,1.96,279262,True,True,4056.1,4046.89
ASCOM,ASCOM,4200.35,-0.92,281581,True,True,4200.35,4060.73
CENTEXT,CENTEXT,2676.98,-0.38,230865,True,True,2676.98,2565.82
GULFPETRO,GULFPETRO,3558.68,0.72,270531,True,True,3558.68,3434.52
ALUWIND,ALUWIND,4646.97,1.0,766263,True,True,4646.97,4416.82
PRLIND,PRLIND,1944.05,0.18,664106,True,True,1944.05,1857.44
GVPTECHPP.E1,GVPTECHPP.E1,3956.74,0.16,16542,True,True,3956.74,3796.0
KCK,KCK,4157.99,1.61,946019,True,True,4157.99,4069.18
GTL,GTL,1405.09,1.46,321558,True,True,1405.09,1382.02
CAPTRUST,CAPTRUST,2163.95,1.38,659112,True,True,2163.95,2077.87
STUDIOLSD,STUDIOLSD,4464.72,-0.92,683763,True,True,4464.72,4390.95
SKIL,SKIL,4841.6,0.32,319119,True,True,4841.6,4610.86
CMRSL,CMRSL,666.94,-0.92,159680,True,True,666.94,645.9
TIJARIA,TIJARIA,3021.31,1.49,391350,True,True,3021.31,2894.08
