symbol,name,price,change,volume,passes_scanner,passes_filter,wma_daily_1,wma_monthly_2
INDORAMA,INDORAMA,1998.32,0.27,798555,True,True,1998.32,1979.42
GAIL,GAIL,1996.82,0.47,397918,True,True,1996.82,1928.2
PRLIND,PRLIND,1944.05,0.18,664106,True,True,1944.05,1857.44
HDBFS,HDBFS,1928.01,0.01,530834,True,True,1928.01,1913.75
LUMAXTECH,LUMAXTECH,1861.95,-0.85,583522,True,True,1861.95,1837.42
SENORES,SENORES,1649.26,0.11,202735,True,True,1649.26,1602.61
DIGISPICE,DIGISPICE,1451.63,-0.62,281506,True,True,1451.63,1401.44
GTL,GTL,1405.09,1.46,321558,True,True,1405.09,1382.02
BHARTIARTL,BHARTIARTL,1307.37,1.87,44442,True,True,1307.37,1287.69
HERITGFOOD,HERITGFOOD,1173.66,0.86,463114,True,True,1173.66,1122.66
M&MFIN,M&MFIN,1163.17,-0.01,762745,True,True,1163.17,1121.71
VISAKAIND,VISAKAIND,1125.42,1.37,635883,True,True,1125.42,1075.39
DYNPRO,DYNPRO,822.44,1.59,921948,True,True,822.44,817.48
JUBLCPL,JUBLCPL,754.05,0.24,638061,True,True,754.05,719.47
TAJGVK,TAJGVK,753.4,-0.63,83795,True,True,753.4,733.42
CMRSL,CMRSL,666.94,-0.92,159680,True,True,666.94,645.9
SKMEGGPROD,SKMEGGPROD,317.79,0.77,38987,True,True,317.79,305.81
BERGEPAINT,BERGEPAINT,233.81,1.59,133306,True,True,233.81,231.62
